channel_id,tags,channel_title,profile_picture,list_id,view_count
UCczNy9tM2GTIIxYs6kDtS3g,"[Só na Conversa,React,Jogos Comfy,Jogos de Terror]",Acquamarine Prism Ch.,https://yt3.ggpht.com/xgW1UPmewY5e1_DQX9e5uyyxlP_obfeH8SPoKLaeg1ywgzmZssuYoKss_xB3jSCS0Kpl7Tdwmw=s240-c-k-c0x00ffffff-no-rj,UUczNy9tM2GTIIxYs6kDtS3g,1172925
UCD0ZX7wHAj3vlTtv3HGn0ag,"[Só na Conversa,Jogos Hardcore,Jogos de Terror,Minecraft,Karaoke]",Kalo,https://yt3.ggpht.com/6ZyVjScClEfIXlYG0A_fpdWo7i2kV04FoRhcrAx1JnDTHLwlXRtCVyLF8u5qTYM0Gy1wFysi=s240-c-k-c0x00ffffff-no-rj,UUD0ZX7wHAj3vlTtv3HGn0ag,123246
UCdDEfqD57Ytn1ioT5mMgq8Q,"[Só na Conversa,React,Jogos Comfy,Jogos Hardcore,Jogos Competitivos,Jogos Indies,Jogos de Terror,Minecraft,VRChat]",SoYue Nyakko,https://yt3.ggpht.com/ul6s1U1FLODQlXgdo1CRyq6GhFC64DVxJqmK6k2Ybr_pTxTVNJ5NWktkOeWcatmLSnQFQrVfFZ8=s240-c-k-c0x00ffffff-no-rj,UUdDEfqD57Ytn1ioT5mMgq8Q,260547
UCdMNawxfPcexyd-J4LGs-SQ,"[Só na Conversa,Jogos Comfy,Jogos Competitivos,Jogos Indies,Minecraft,Roblox,VRChat]",RATA ROSA,https://yt3.ggpht.com/8ugWHckUXNSeh-WH2cDjIg-Tkn1zFH4HdQTlCmHE5tqV1-qbs-xQiKbHn_xEV9Q8Fg7ycmw_Ag=s240-c-k-c0x00ffffff-no-rj,UUdMNawxfPcexyd-J4LGs-SQ,200473
UCDrNpTR1GfxwXC2mbSbBCqQ,"[Só na Conversa,Jogos Comfy,Jogos Competitivos,Jogos Indies,Arte]",sheey ch.,https://yt3.ggpht.com/NG19PD6_22RtoPJQPOj-kaMDgwHnlAxDVuZaq0FM4XkMOttiEQfKep06H3B1M2_v9pKdYSVEiQ=s240-c-k-c0x00ffffff-no-rj,UUDrNpTR1GfxwXC2mbSbBCqQ,240378
UCDYcVixIckmyT6zZXIQM4Cw,"[Só na Conversa,Opinião,React,Cozy,Jogos Comfy,Jogos Hardcore,Jogos Competitivos,Jogos Indies]",Sachiko Moon,https://yt3.ggpht.com/ng4HUZX8U3eAH8ZkIoFbTujFvUmNayXW7Z5xr8SNw3a3m4CXGntY1eWrjS8wQWCyO7VZGsgl=s240-c-k-c0x00ffffff-no-rj,UUDYcVixIckmyT6zZXIQM4Cw,16278
UCEf2luadfhzXNRcu12M8-aA,"[Só na Conversa,React,Cozy,Jogos Comfy,Jogos Indies,Karaoke,Arte]",Tokkidero,https://yt3.ggpht.com/iNBkDK4EVw8QzfCn6MGPezzNfRVIjU7bDwW_R3PFjJUHudu7uZKcNd01EPIjTtbRZOyxebck3g=s240-c-k-c0x00ffffff-no-rj,UUEf2luadfhzXNRcu12M8-aA,26730
UCEqy5TjgU5e7NHj-KWjlRcA,"[Só na Conversa,Jogos Comfy,Jogos Hardcore,Jogos Competitivos,Jogos Indies,Karaoke,Arte]",Mashiron Ch.,https://yt3.ggpht.com/D1QbLIaSF_Jf3iJCcot0WvlCKnbBi-Ye0m4Gz9QnbzHvU7wH3IDMxk5-dwVdzOMaY4zBMC3A=s240-c-k-c0x00ffffff-no-rj,UUEqy5TjgU5e7NHj-KWjlRcA,910875
UCEUAZUkI4mr15h4RwHrr9sg,"[Só na Conversa,React,Cozy,Jogos Comfy,Jogos Competitivos,Jogos Indies,Minecraft,Arte]",Kym Kamisato,https://yt3.ggpht.com/LWSWbi3TUl2M8nzTlLr7A0LM0Zb_ZnsHXkSh-5RbdDLr5BZKaB-kx1QFyQ8sKwAWSe_SKr2i=s240-c-k-c0x00ffffff-no-rj,UUEUAZUkI4mr15h4RwHrr9sg,49792
UCf229ns10J0egjWYDN_cpLA,"[Só na Conversa,React,Jogos Indies,Jogos de Terror]",TuskaCarmesim,https://yt3.ggpht.com/6jna9Klr105n3IZNSlma4qSFCkgIJ44zuH2lXsinR1y9Hfq3LYo_vG4ztqZ6oy9DX_RsQzS5=s240-c-k-c0x00ffffff-no-rj,UUf229ns10J0egjWYDN_cpLA,807016
